연번,상호명,소재지(지번)
1,우노 휘트니스클럽,서울특별시 용산구 보광동 216-12 그린서적 
2,AK운동맞춤센터,서울특별시 용산구 용산동2가 23 
3,웰니스짐,서울특별시 용산구 이태원동 226-3 지하1층 
4,동국스포츠,서울특별시 용산구 원효로4가 142-1 2.3층 
5,리콥 웰니스센터,서울특별시 용산구 한남동 657-201 
6,J헬스클럽,서울특별시 용산구 한남동 631-5 4층 
7,스카이 휘트니스클럽,"서울특별시 용산구 남영동 127-1 2층,3층 "
8,드래곤힐스파휘트니스클럽,서울특별시 용산구 한강로3가 40-713 4층 
9,원짐,서울특별시 용산구 한강로3가 16-85 GS한강에클라트 
10,에이치 앤 휘트니스,서울특별시 용산구 한남동 96-3 신성미소시티 지하1층 
11,밸런스 핏,서울특별시 용산구 청파동3가 111-9 캠퍼스프라자 4층 
12,제이제이스포츠 이촌점,서울특별시 용산구 이촌동 300-21 유일빌딩 지하1층 
13,센티넬 크로스핏 한남1(Sentinel CrossFit Hannam),서울특별시 용산구 한남동 635-1 지하1층 
14,동서 골프&휘트니스,서울특별시 용산구 청파동1가 180-24 
15,망고짐,서울특별시 용산구 남영동 61-4 
16,스포짐,서울특별시 용산구 문배동 40-31 
17,프라이빗 웰니스,서울특별시 용산구 한남동 740-1 
18,H 스튜디오,서울특별시 용산구 한남동 79-3 
19,반트짐,서울특별시 용산구 이촌동 302-52 LG프라자 
20,Fit In Cool,서울특별시 용산구 한남동 657-45 
21,핏클럽 서울,서울특별시 용산구 이태원동 646-204 
22,팀하드 피티,서울특별시 용산구 한남동 261-6 
23,Beautiful Evolution,서울특별시 용산구 보광동 216-88 
24,에스퍼스널트레이닝,서울특별시 용산구 용산동5가 24-1 
25,PENTACLE,서울특별시 용산구 동자동 12 
26,레브트레이닝,서울특별시 용산구 한남동 1-307 
27,스포벡,서울특별시 용산구 갈월동 101-45 
28,와가짐,서울특별시 용산구 이촌동 300-301 삼익아파트 
29,시크모어 웰니스 스튜디오,서울특별시 용산구 한남동 737-28 현대안성타워 
30,칼라퍼스널트레이닝,서울특별시 용산구 원효로1가 39-10 
31,랜스앤제이 퍼스널 트레이닝 스튜디오,서울특별시 용산구 한남동 1-42 3층 
32,유즈웰(USEWELL),서울특별시 용산구 한남동 72-1 
33,와이짐,서울특별시 용산구 보광동 217-21 
34,더블에이 이촌,서울특별시 용산구 이촌동 302-61 
35,피트 트레이닝센터,서울특별시 용산구 서빙고동 241-94 
36,파프짐,서울특별시 용산구 한남동 33-4 
37,만리기획,서울특별시 용산구 서계동 260-1 
38,찰스짐,서울특별시 용산구 이촌동 300-16 (주)서울스튜디오 
39,빅짐,서울특별시 용산구 동빙고동 28-15 1층 
40,후핏,서울특별시 용산구 이촌동 300-322 201호
41,에스웨이 피트니스,서울특별시 용산구 한남동 258 현대리버티하우스 
42,판크 트레이닝클럽,서울특별시 용산구 한남동 76-42 남한빌딩 
43,라온휘트니스,서울특별시 용산구 효창동 5-121 지하2층 
44,짐나우 퍼스널트레이닝,서울특별시 용산구 한강로3가 98 
45,진핏퍼스널트레이닝,서울특별시 용산구 한남동 707-36 한남프라자 4층 
46,팀하드 피트니스,서울특별시 용산구 한남동 261-6 4층 402호 
47,디스이즈짐(THIS IS GYM),서울특별시 용산구 한남동 736-8 3층 
48,스포벡휘트니스,서울특별시 용산구 남영동 17-1 참빛빌딩 지하1층 
49,Sanctuary,"서울특별시 용산구 동빙고동 7-48 뉴포트, 5층 "
50,F45 트레이닝 한남,서울특별시 용산구 한남동 258 현대리버티하우스 
51,바디컨설팅,서울특별시 용산구 갈월동 66 신아빌딩 
52,TIM GYM,서울특별시 용산구 한남동 630-9 THE VIII(갈2:20) 
53,에이블짐 이태원역점,서울특별시 용산구 이태원동 124-1 준아트빌 
54,NEW RUN,서울특별시 용산구 한강로2가 420 용산푸르지오써밋 
55,짐나우 신용산점,서울특별시 용산구 한강로3가 63-70 
56,FIT NOMAD,서울특별시 용산구 이태원동 164-10 
57,내셔널짐,서울특별시 용산구 원효로1가 133-3 리첸시아 용산 
58,모어피클,서울특별시 용산구 한강로3가 63-70 
59,리콥 웰니스 프리미엄,서울특별시 용산구 한남동 78 
60,센트럴짐,서울특별시 용산구 한강로3가 63-70 
61,서울시티크루,서울특별시 용산구 보광동 259-1 용호빌딩 
62,맹그로브 짐,서울특별시 용산구 한남동 31-10 
63,마음다짐,서울특별시 용산구 원효로1가 43-13 아카데미문화사 
64,업핏 한남,서울특별시 용산구 한남동 737-23 유니언타운 
65,이태원짐,서울특별시 용산구 이태원동 183-1 동호프라자.외환은행 
66,대짐(大GYM),서울특별시 용산구 한남동 794-7 B1호
67,원(1)GYM,서울특별시 용산구 한강로3가 16-85 지에스 한강에클라트 104호
68,크로스핏 남산,서울특별시 용산구 남영동 114-15 17-17 
69,엘피PT&필라테스,서울특별시 용산구 원효로1가 133-3 리첸시아 용산 A동 210호
70,텐세그리티,서울특별시 용산구 후암동 358-17 대원정사 본관 201호 
71,MCT GYM 용산,서울특별시 용산구 청파동3가 80-6 지층 B01호 
72,드래곤짐,서울특별시 용산구 한남동 107-4 
73,상떼(Sante'),서울특별시 용산구 이촌동 302-81 
74,스카이짐 GDR골프아카데미 헬스,서울특별시 용산구 갈월동 92 용산빌딩 
75,런앤리프트,서울특별시 용산구 갈월동 85-3 남영빌딩 
76,국대교정,서울특별시 용산구 동빙고동 7-18 우성빌딩 
77,워너블짐,서울특별시 용산구 한강로2가 2-8 벽산메가트리움 
78,제이핏,서울특별시 용산구 한강로3가 49-2 
79,위워크아웃,서울특별시 용산구 후암동 105-5 
80,내셔널짐 피티&골프,서울특별시 용산구 원효로1가 133-3 리첸시아 용산 
81,이루어GYM,서울특별시 용산구 원효로1가 39-6 통일빌딩 
82,아모레퍼시픽 AP 피트니스,서울특별시 용산구 한강로2가 424 아모레퍼시픽 
83,마이 트레이너 짐(MY TRAINER GYM),서울특별시 용산구 이태원동 66-3 
84,BK FIT,서울특별시 용산구 이태원동 99-6 
85,소마톨로지,서울특별시 용산구 한강로3가 98 
86,ROHE,서울특별시 용산구 한남동 274-13 
87,브이브이아이피 피티샵,서울특별시 용산구 이촌동 301-10 e-편한세상로얄맨션 
88,인서울핏 헬스&PT,서울특별시 용산구 이태원동 303-17 혜광의원 
89,F45 신용산,서울특별시 용산구 한강로3가 100 
90,릴리즈 운동센터,서울특별시 용산구 도원동 23 도원동삼성래미안 
91,좋은습관 PT STUDIO 용산,서울특별시 용산구 원효로2가 2-3 
92,훈짐,서울특별시 용산구 용문동 8-29 
93,인필라테스&PT,서울특별시 용산구 산천동 202 삼성테마트 
94,엠씨티짐 용문,서울특별시 용산구 원효로2가 88-2 
